State Name,Grades 1-8 Students(2016),Grades 9-12 Students(2016),Grades 1-8 Students(2013),Grades 9-12 Students(2013),Grades 1-8 Students(2014),Grades 9-12 Students(2014),Grades 1-8 Students(2015),Grades 9-12 Students(2015)
ALABAMA,452764,222182,458974,217203,458327,218705,454081,221068
ALASKA,80011,38688,79369,38420,78835,38230,79112,38431
ARIZONA,687144,333579,671982,321634,679992,327144,687823,331552
ARKANSAS,296050,142242,292641,138428,294621,140185,295622,141653
CALIFORNIA,3748465,1941009,3763810,1965168,3771067,1952314,3767745,1949755
COLORADO,541348,260909,520184,246051,528653,249380,536632,254643
CONNECTICUT,315851,167056,324906,170245,321966,169038,319247,167790
DELAWARE,83409,39845,79585,38022,81303,38483,82971,39346
DISTRICT OF COLUMBIA,44996,18884,39377,17577,41239,17717,43084,17634
FLORIDA,1692825,839773,1626947,799602,1647922,807034,1670530,823249
GEORGIA,1067899,513865,1040200,481043,1051792,490032,1063066,501605
HAWAII,114924,50219,114462,51069,116670,50806,117974,50925
IDAHO,182320,86334,177111,82631,181856,87143,181354,85232
ILLINOIS,1198970,619292,1219411,624679,1219389,621531,1209886,621275
INDIANA,628889,321313,635245,316329,634763,316350,633508,316465
IOWA,293017,146808,285931,144784,288638,145011,290642,145862
KANSAS,293540,141615,288797,137855,294099,138847,294230,140324
KENTUCKY,410676,198820,410084,193961,405262,192256,412196,196733
LOUISIANA,437974,198577,436675,186111,436614,188181,437690,194791
MAINE,107109,56273,109307,57815,108616,56924,107797,56361
MARYLAND,530541,253096,506235,256836,515221,253589,523857,254072
MASSACHUSETTS,571237,294897,568277,287506,569089,287478,569677,288934
MICHIGAN,887682,482540,914737,492272,910594,487518,898924,484956
MINNESOTA,519641,265709,502923,262041,509390,261409,514730,263074
MISSISSIPPI,301491,135375,304011,133809,304829,132568,303333,134857
MISSOURI,549399,269349,546068,270370,547877,269227,548958,268921
MONTANA,90837,41822,87789,42089,88513,42138,89805,41816
NEBRASKA,185325,91650,179506,88073,180640,88555,183467,89964
NEVADA,289732,136906,273430,131953,278662,132564,284442,134640
NEW HAMPSHIRE,109370,58107,113017,60805,111854,59377,110626,58807
NEW JERSEY,790025,402208,788168,400875,792008,399391,792613,401874
NEW MEXICO,205691,96798,205807,97242,206295,97716,206441,99260
NEW YORK,1601015,820402,1601541,825972,1607001,820326,1607983,827493
NORTH CAROLINA,945647,462874,928372,438375,936407,441263,941088,454963
NORTH DAKOTA,66827,30675,60569,30116,62651,30420,65071,30421
OHIO,1037775,521595,1051867,518617,1049020,515611,1044724,519938
OKLAHOMA,409036,187118,397470,176812,402398,179811,405206,184170
OREGON,353184,181598,342833,178239,345775,178595,349455,179757
PENNSYLVANIA,1047793,540546,1063403,557464,1063310,554067,1058258,549398
RHODE ISLAND,86796,42871,84955,44672,86006,43270,86813,42892
SOUTH CAROLINA,462710,220780,444923,208648,451301,211835,457244,216723
SOUTH DAKOTA,82347,37242,78186,37267,79488,36639,81184,37301
TENNESSEE,604802,291841,603243,281971,605311,283888,606195,288408
TEXAS,3188705,1492452,3048599,1387513,3102385,1411436,3150946,1450441
UTAH,401436,184303,381495,169077,388573,174129,394684,178910
VERMONT,48722,26002,50089,27557,49575,27233,49221,26338
VIRGINIA,772414,386781,759657,375975,767349,377252,771091,382598
WASHINGTON,656797,336808,631305,327134,637352,328068,646445,333318
WEST VIRGINIA,162070,80142,164805,80673,163988,79957,163654,80543
WISCONSIN,489919,263896,489324,265682,491376,264739,490627,264550
WYOMING,59453,26914,56619,26243,57628,26449,58774,26732
