State Name,Total Students ,Prekindergarten Students ,Kindergarten Students ,Grades 1-8 Students,Grades 9-12 Students
ALABAMA,743789,13230,55613,452764,222182
ALASKA,132477,3369,10409,80011,38688
ARIZONA,1109040,8747,79396,687144,333579
ARKANSAS,492132,16083,37509,296050,142242
CALIFORNIA,6226737,–,530531,3748465,1941009
COLORADO,899112,32224,64631,541348,260909
CONNECTICUT,537933,18385,36641,315851,167056
DELAWARE,134847,1553,10040,83409,39845
DISTRICT OF COLUMBIA,84024,12316,7319,44996,18884
FLORIDA,2792234,60122,199514,1692825,839773
GEORGIA,1757237,46685,128788,1067899,513865
HAWAII,181995,1586,14860,114924,50219
IDAHO,292277,2549,20988,182320,86334
ILLINOIS,2041779,87589,135924,1198970,619292
INDIANA,1046757,18529,77044,628889,321313
IOWA,508014,28971,39218,293017,146808
KANSAS,495884,18773,36975,293540,141615
KENTUCKY,686598,27144,49463,410676,198820
LOUISIANA,718711,28444,53716,437974,198577
MAINE,181613,5396,12835,107109,56273
MARYLAND,879601,31034,64930,530541,253096
MASSACHUSETTS,964026,29297,66142,571237,294897
MICHIGAN,1536231,48961,113090,887682,482540
MINNESOTA,864384,15443,63591,519641,265709
MISSISSIPPI,487200,4867,37573,301491,135375
MISSOURI,919234,33360,67126,549399,269349
MONTANA,145319,1158,11502,90837,41822
NEBRASKA,316014,15665,23374,185325,91650
NEVADA,467527,5554,34495,289732,136906
NEW HAMPSHIRE,182425,3743,11192,109370,58107
NEW JERSEY,1408845,63284,91870,790025,402208
NEW MEXICO,335694,8509,24696,205691,96798
NEW YORK,2711626,50430,198024,1601015,820402
NORTH CAROLINA,1544934,18565,116324,945647,462874
NORTH DAKOTA,108644,2213,8929,66827,30675
OHIO,1716585,33118,124097,1037775,521595
OKLAHOMA,692878,41660,53462,409036,187118
OREGON,576407,–,41625,353184,181598
PENNSYLVANIA,1717414,8201,120874,1047793,540546
RHODE ISLAND,142014,2450,9897,86796,42871
SOUTH CAROLINA,763533,24654,55389,462710,220780
SOUTH DAKOTA,134253,3112,11552,82347,37242
TENNESSEE,1001235,30352,74240,604802,291841
TEXAS,5301477,243496,376824,3188705,1492452
UTAH,647870,13838,48293,401436,184303
VERMONT,87866,7279,5863,48722,26002
VIRGINIA,1283590,33453,90942,772414,386781
WASHINGTON,1087030,13733,79692,656797,336808
WEST VIRGINIA,277452,15077,20163,162070,80142
WISCONSIN,867800,55907,58078,489919,263896
WYOMING,94717,509,7841,59453,26914
