,2006(SAT),2013(SAT),2014(SAT),2015(SAT),2016(SAT),2017(SAT),2014-2013(SAT),2015-2014(SAT),2016-2015(SAT),2017-2016(SAT),5 yr change(SAT),2013(ACT),2014(ACT),2015(ACT),2016(ACT),2017(ACT),2014-2013(ACT),2015-2014(ACT),2016-2015(ACT),2017-2016(ACT),5 yr change(ACT)
Alabama,9,0.07,0.06,0.06,0.07,0.05,-0.01,-0.0,0.01,-0.02,-0.02,0.78,0.80,1.00,1.00,1.00,0.02,0.20,0.00,0.00,0.22
Alaska,51,0.52,0.52,0.52,0.54,0.38,-0.00,0.0,0.02,-0.16,-0.14,0.37,0.37,0.39,0.53,0.65,0.00,0.02,0.14,0.12,0.28
Arizona,32,0.35,0.34,0.34,0.36,0.30,-0.01,-0.0,0.02,-0.06,-0.05,0.50,0.55,0.56,0.58,0.62,0.05,0.01,0.02,0.04,0.12
Arkansas,5,0.04,0.04,0.04,0.04,0.03,0.00,-0.0,0.00,-0.01,-0.01,0.90,0.93,0.93,0.96,1.00,0.03,0.00,0.03,0.04,0.10
California,49,0.57,0.60,0.60,0.60,0.53,0.03,-0.0,0.00,-0.07,-0.04,0.26,0.29,0.30,0.33,0.31,0.03,0.01,0.03,-0.02,0.05
Colorado,26,0.14,0.12,0.12,0.14,0.11,-0.02,-0.0,0.02,-0.03,-0.03,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
Connecticut,84,0.85,0.89,0.89,0.88,1.00,0.04,-0.0,-0.01,0.12,0.15,0.27,0.29,0.32,0.34,0.31,0.02,0.03,0.02,-0.03,0.04
Delaware,73,1.00,1.00,1.00,1.00,1.00,0.00,0.0,0.00,0.00,0.00,0.15,0.18,0.21,0.21,0.18,0.03,0.03,0.00,-0.03,0.03
District of Columbia,78,0.91,1.00,1.00,1.00,1.00,0.09,0.0,0.00,0.00,0.09,0.38,0.37,0.42,0.44,0.32,-0.01,0.05,0.02,-0.12,-0.06
Florida,65,0.67,0.74,0.74,0.72,0.83,0.07,-0.0,-0.02,0.11,0.16,0.74,0.81,0.79,0.81,0.73,0.07,-0.02,0.02,-0.08,-0.01
Georgia,70,0.75,0.77,0.77,0.77,0.61,0.02,0.0,0.00,-0.16,-0.14,0.51,0.53,0.58,0.60,0.55,0.02,0.05,0.02,-0.05,0.04
Hawaii,60,0.64,0.61,0.61,0.63,0.55,-0.03,-0.0,0.02,-0.08,-0.09,0.40,0.90,0.93,0.94,0.90,0.50,0.03,0.01,-0.04,0.50
Idaho,19,0.99,1.00,1.00,1.00,0.93,0.01,0.0,0.00,-0.07,-0.06,0.49,0.45,0.42,0.39,0.38,-0.04,-0.03,-0.03,-0.01,-0.11
Illinois,9,0.05,0.04,0.04,0.05,0.09,-0.01,0.0,0.01,0.04,0.04,1.00,1.00,1.00,1.00,0.93,0.00,0.00,0.00,-0.07,-0.07
