,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
English_ACT,18.9,18.7,18.6,18.9,22.5,20.1,25.5,24.1,24.4,19.0,21.0,17.8,21.9,21.0,22.0,21.2,21.1,19.6,19.4,24.2,23.3,25.4,24.1,20.4,18.2,19.8,19.0,20.9,16.3,25.4,23.8,18.6,23.8,17.8,19.0,21.2,18.5,21.2,23.4,24.0,17.5,20.7,19.5,19.5,19.5,23.3,23.5,20.9,20.0,19.7,19.4
Math_ACT,18.4,19.8,19.8,19.0,22.7,20.3,24.6,23.4,23.5,19.4,20.9,19.2,21.8,21.2,22.4,21.3,21.3,19.4,18.8,24.0,23.1,25.3,23.7,21.5,18.1,19.9,20.2,20.9,18.0,25.1,23.8,19.4,24.0,19.3,20.4,21.6,18.8,21.5,23.4,23.3,18.6,21.5,19.2,20.7,19.9,23.1,23.3,21.9,19.4,20.4,19.8
Reading_ACT,19.7,20.4,20.1,19.7,23.1,21.2,25.6,24.8,24.9,21.0,22.0,19.2,23.0,21.6,23.2,22.6,22.3,20.5,19.8,24.8,24.2,25.9,24.5,21.8,18.8,20.8,21.0,21.9,18.1,26.0,24.1,20.4,24.6,19.6,20.5,22.5,20.1,22.4,24.2,24.7,19.1,22.3,20.1,21.1,20.8,24.4,24.6,22.1,21.2,20.6,20.8
Science_ACT,19.4,19.9,19.8,19.5,22.2,20.9,24.6,23.6,23.5,19.4,21.3,19.3,22.1,21.3,22.3,22.1,21.7,20.1,19.6,23.7,23.2,24.7,23.8,21.6,18.8,20.5,20.5,21.5,18.2,24.9,23.2,20.0,23.9,19.3,20.6,22.0,19.6,21.7,23.3,23.4,18.9,22.0,19.9,20.9,20.6,23.2,23.5,22.0,20.5,20.9,20.6
Composite_ACT,19.2,19.8,19.7,19.4,22.8,20.8,25.2,24.1,24.2,19.8,21.4,19.0,22.3,21.4,22.6,21.9,21.7,20.0,19.5,24.3,23.6,25.4,24.1,21.5,18.6,20.4,20.3,21.4,17.8,25.5,23.9,19.7,24.2,19.1,20.3,22.0,19.4,21.8,23.7,24.0,18.7,21.8,19.8,20.7,20.3,23.6,23.8,21.9,20.4,20.5,20.2
Avg_ACT,19.12,19.72,19.6,19.3,22.660000000000004,20.66,25.1,24.0,24.1,19.72,21.32,18.9,22.220000000000002,21.3,22.5,21.82,21.62,19.919999999999998,19.419999999999998,24.2,19.3,25.339999999999996,24.04,21.360000000000003,18.5,20.28,20.2,21.32,17.68,25.380000000000003,23.76,19.62,24.1,19.02,20.16,21.86,19.28,21.72,23.6,23.880000000000003,18.56,21.66,19.7,20.580000000000002,20.220000000000002,23.520000000000003,23.740000000000002,21.76,20.3,20.419999999999998,20.16
Participation_float_ACT,1.0,0.65,0.62,1.0,0.31,1.0,0.31,0.18,0.32,0.73,0.55,0.9,0.38,0.93,0.35,0.67,0.73,1.0,1.0,0.08,0.28,0.29,0.29,1.0,1.0,1.0,1.0,0.84,1.0,0.18,0.34,0.66,0.31,1.0,0.98,0.75,1.0,0.4,0.23,0.21,1.0,0.8,1.0,0.45,1.0,0.29,0.29,0.29,0.69,1.0,1.0
Reading_SAT,593,547,563,614,531,606,530,503,482,520,535,544,513,559,542,641,632,631,611,513,536,555,509,644,634,640,605,629,563,532,530,577,528,546,635,578,530,560,540,539,543,612,623,513,624,562,561,541,558,642,626
Math_SAT,572,533,553,594,524,595,512,492,468,497,515,541,493,556,532,635,628,616,586,499,524,551,495,651,607,631,591,625,553,520,526,561,523,535,621,570,517,548,531,524,521,603,604,507,614,551,541,534,528,649,604
Total_SAT,1165,1080,1116,1208,1055,1201,1041,996,950,1017,1050,1085,1005,1115,1074,1275,1260,1247,1198,1012,1060,1107,1005,1295,1242,1271,1196,1253,1116,1052,1056,1138,1052,1081,1256,1149,1047,1108,1071,1062,1064,1216,1228,1020,1238,1114,1102,1075,1086,1291,1230
Participation_float_SAT,0.05,0.38,0.3,0.03,0.53,0.11,1.0,1.0,1.0,0.83,0.61,0.55,0.93,0.09,0.63,0.02,0.04,0.04,0.04,0.95,0.69,0.76,1.0,0.03,0.02,0.03,0.1,0.03,0.26,0.96,0.7,0.11,0.67,0.49,0.02,0.12,0.07,0.43,0.65,0.71,0.5,0.03,0.05,0.62,0.03,0.6,0.65,0.64,0.14,0.03,0.03
