,2006(SAT),2013(SAT),2014(SAT),2015(SAT),2016(SAT),2017(SAT),2014-2013(SAT),2015-2014(SAT),2016-2015(SAT),2017-2016(SAT),5 yr change(SAT)
Alabama,9.0,7.000000000000001,6.1,6.0,7.000000000000001,5.0,-0.9000000000000012,-0.1,1.0000000000000009,-2.000000000000001,-2.000000000000001
Alaska,51.0,52.0,51.9,52.0,54.0,38.0,-0.10000000000000142,0.1,2.0,-16.0,-14.0
Arizona,32.0,35.0,34.3,34.0,36.0,30.0,-0.7000000000000028,-0.3,2.0,-6.0,-5.0
Arkansas,5.0,4.0,4.1,4.0,4.0,3.0,0.09999999999999964,-0.1,0.0,-1.0,-1.0
California,49.0,56.99999999999999,60.4,60.0,60.0,53.0,3.4000000000000057,-0.4,0.0,-7.0,-3.999999999999993
Colorado,26.0,14.000000000000002,12.3,12.0,14.000000000000002,11.0,-1.700000000000001,-0.3,2.0000000000000018,-3.0000000000000018,-3.0000000000000018
Connecticut,84.0,85.0,89.3,89.0,88.0,100.0,4.299999999999997,-0.3,-1.0,12.0,15.0
Delaware,73.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
District of Columbia,78.0,91.0,100.0,100.0,100.0,100.0,9.0,0.0,0.0,0.0,9.0
Florida,65.0,67.0,74.3,74.0,72.0,83.0,7.299999999999997,-0.3,-2.0,11.0,16.0
Georgia,70.0,75.0,76.9,77.0,77.0,61.0,1.9000000000000057,0.1,0.0,-16.0,-14.0
Hawaii,60.0,64.0,61.4,61.0,63.0,55.0,-2.6000000000000014,-0.4,2.0,-8.0,-9.0
Idaho,19.0,99.0,99.9,100.0,100.0,93.0,0.9000000000000057,0.1,0.0,-7.0,-6.0
Illinois,9.0,5.0,4.0,4.0,5.0,9.0,-1.0,0.0,1.0,4.0,4.0
Indiana,62.0,70.0,70.9,71.0,71.0,63.0,0.9000000000000057,0.1,0.0,-8.0,-7.0
Iowa,4.0,3.0,2.9,3.0,3.0,2.0,-0.10000000000000009,0.1,0.0,-1.0,-1.0
Kansas,8.0,6.0,4.8,5.0,5.0,4.0,-1.2000000000000002,0.2,0.0,-1.0,-2.0
Kentucky,11.0,5.0,4.0,4.0,5.0,4.0,-1.0,0.0,1.0,-1.0,-1.0
Louisiana,6.0,5.0,4.6,5.0,5.0,4.0,-0.40000000000000036,0.4,0.0,-1.0,-1.0
